user,date,text,latitude,longitude;
"MillzGP,Sat Aug 10 08:58:40 +0000 2019,""b'Offspring x Converse Chuck \'70 Hi """"Community Pack"""".\n.\nThat milky gum sole though. Shouts to those that remember Pun? https://t.co/JsoFBmSUC2'"",51.50711486,-0.12731805";
"xmhwww,Sat Aug 10 08:57:36 +0000 2019,""b'10.8.2019 ?? @ London, United Kingdom https://t.co/NoLeahXBGT'"",51.50711486,-0.12731805";
"scotthossack,Sat Aug 10 08:57:14 +0000 2019,""b'Borough Market @ London, United Kingdom https://t.co/HXU4eQmUw2'"",51.50711486,-0.12731805";
"CityImpro,Sat Aug 10 08:56:12 +0000 2019,""b""""He's coming to find #laughs and #love in #laughisland tonight!!\n7.30pm canalcafetheatre @CamdenFringe \nJoin our con? https://t.co/9xYaNT31Lr"""""",51.50711486,-0.12731805";
"JoClapes,Sat Aug 10 08:55:23 +0000 2019,""b'Good morning! English Breakfast calling! #aorillasdeltamesis #tea #mug #lonfon #englishbreakfast en London, United? https://t.co/EdbrmpG1oK'"",51.50711486,-0.12731805";
RetrospaceAndy,Sat Aug 10 08:55:20 +0000 2019,b'Tom: Dad it?s not the Tardis Andy: I know it?s a police post Tom: oh! Always love this little piece of history sinc? https://t.co/BpYYZa7V6g',51.51004678,-0.13420392;
"JoClapes,Sat Aug 10 08:54:16 +0000 2019,""b'Good morning! English Breakfast calling! #aorillasdeltamesis #tea #mug #lonfon #englishbreakfast en London, United? https://t.co/yu3MrtB0D4'"",51.50711486,-0.12731805";
"cookinboots,Sat Aug 10 08:51:12 +0000 2019,""b'?Things I do not want to wash up?   ? ? ? ? @aleksandrakingo #betterthingstodo @ London, United Kingdom https://t.co/ay80lsnJ7X'"",51.50711486,-0.12731805";
didicreationkid,Sat Aug 10 08:48:44 +0000 2019,b'Perfect Gift set for the lil princesses.\n\nSuitable from birth to six months old.\n\nNow taking orders!\n\n#comingsoon? https://t.co/GMy5qvuI51',51.50711486,-0.12731805;
maximilian2027,Sat Aug 10 08:46:48 +0000 2019,b'SDENTALES / Sony Alpha 7III / UNITED KINGDOM / February 2019 / London\n\nC790\n\nhttps://t.co/ymyWfrjt4f\n\nSDENTALES pho? https://t.co/6FcJ4t80ZS',51.50711486,-0.12731805;
9jalicious,Sat Aug 10 08:45:51 +0000 2019,b'I?m serious ?motivation  like &amp;? follow???@9jalicious ?#saturday #motivation ??#DreamBelieveAchieve #good-vibes? https://t.co/IQFhkBP2BY',51.50711486,-0.12731805
CityImpro,Sat Aug 10 08:44:58 +0000 2019,b'#Congratulations to the victorious winners of #ImprovDeathmatch last night were the mighty Oof Comedy! \n\nJoin us to? https://t.co/ZRD1ijrfIm',51.50711486,-0.12731805;
"lordloftus,Sat Aug 10 08:44:04 +0000 2019,""b'@jamieoliver #VEGbook is out in a couple of weeks, shot by me, art directed by stswithunsboy &amp";" designed by? https://t.co/Qr2yxJNbDB'"",51.50711486,-0.12731805"
Junkwize,Sat Aug 10 08:43:47 +0000 2019,b'When your usual supplier lets you down Junkwize is there ready to rescue you.\n#junkwize #emergencycallout? https://t.co/zlVzLj4Deg',51.50711486,-0.12731805;
"tmj_lon_it,Sat Aug 10 08:42:27 +0000 2019,""b'Interested in a job in #London, England? This could be a great fit. Click the link in our bio to apply: Java Developer at Mastercard #IT'"",51.5073509,-0.1277583";
"sg1969,Sat Aug 10 08:42:18 +0000 2019,""b'Patterns - Dots\nLondon, August 2019.\n.\n.\n.\n#fujifeed #streets_in_motion #streetphotography #dreaminstreets? https://t.co/5Yp3KsMxZL'"",51.50711486,-0.12731805";
"Greeny_yuyu,Sat Aug 10 08:41:46 +0000 2019,""b'??????????????? @ London, United Kingdom https://t.co/EBxw6x7gzS'"",51.50711486,-0.12731805";
schneideman331,Sat Aug 10 08:41:31 +0000 2019,b'So thrilled to have provided the portraits and photographs for  @hettiejudah?s brilliant new book ?Art London? publ? https://t.co/ZvdyUWczlV',51.50711486,-0.12731805;
9jalicious,Sat Aug 10 08:41:21 +0000 2019,b'Double Tap if it?s true? #saturday #motivation  like &amp; ?follow ??@9jalicious ???#DreamBelieveAchieve #good-vibes? https://t.co/8z7ogKhFqR',51.50711486,-0.12731805
SacredArtN16,Sat Aug 10 08:40:33 +0000 2019,b'Close up of the stomach piece made for super talented half_blade_half_silk by resident artist lixi_sickandnormal \n.? https://t.co/735IO1l5Ed',51.50711486,-0.12731805;
"wellnesstvnews,Sat Aug 10 08:40:23 +0000 2019,""b'Research at Northumbria University, Newcastle is investigating the important role that structured exercise programm? https://t.co/wuP9Pstsg3'"",51.50711486,-0.12731805";
lechefpaski,Sat Aug 10 08:38:39 +0000 2019,b'Saturday omelette action with no pression ...\n#miam#yummy#egg#eggy#omelette #weekend #breakfast #oeuf#oeufs#saturda? https://t.co/mNFPDowlsK',51.50711486,-0.12731805;
StevanBorthwick,Sat Aug 10 08:33:59 +0000 2019,b'???????????????\nLooking to build your portfolio?\nBook outdoor or indoor shoots by email ?\nInfo@stevanborthwick.com? https://t.co/Y4y0Lyc81B',51.50711486,-0.12731805;
StevanBorthwick,Sat Aug 10 08:33:41 +0000 2019,b'???????????????\nLooking to build your portfolio?\nBook outdoor or indoor shoots by email ?\nInfo@stevanborthwick.com? https://t.co/BaDwdc07Zn',51.50711486,-0.12731805;
StevanBorthwick,Sat Aug 10 08:33:28 +0000 2019,b'???????????????\nLooking to build your portfolio?\nBook outdoor or indoor shoots by email ?\nInfo@stevanborthwick.com? https://t.co/rgoUotYhNR',51.50711486,-0.12731805;
"TheFatlingPub,Sat Aug 10 08:32:12 +0000 2019,""b'Today...West Ham begin their season....LIVE HERE @thefatlingpub @ London, United Kingdom https://t.co/Nz1AXeaMZi'"",51.50711486,-0.12731805";
"LizzieNobrega,Sat Aug 10 08:31:19 +0000 2019,""b'""""Under the light of awareness, the energy of irritation can be transformed into an energy which nourishes."""" - Thich? https://t.co/Er3ZUGzp2S'"",51.50711486,-0.12731805";
"AndyShawWT,Sat Aug 10 08:30:10 +0000 2019,""b'A great week helping some of our hospitality clients implement our CRM systems, websites and digital marketing repo? https://t.co/LdWQhHWxHg'"",51.50711486,-0.12731805";
"emma_grier,Sat Aug 10 08:29:01 +0000 2019,""b""""I've had such a lovely week at  @bigtimeacademy  Lion King camp. A great week of acting, singing, dancing, playing? https://t.co/sf7HO7qXtE"""""",51.50711486,-0.12731805";
nicolafriend,Sat Aug 10 08:27:00 +0000 2019,b'This weekend the girls (me and my mum) are going up in the loft to find the newborn stuff to wash and get in some s? https://t.co/GB2JmDf8UH',51.50711486,-0.12731805;
theadalifestyle,Sat Aug 10 08:26:38 +0000 2019,b'Currently getting ready to go go my weekend job because you have to work hard for the things you want . Whether it?? https://t.co/lFV0nyDisk',51.50711486,-0.12731805;
trieditpodcast,Sat Aug 10 08:24:38 +0000 2019,b'How well do you know your ?flower? ? ? \n\nFor the three of us letstalkgynae sip ?n? paint was the first time we even? https://t.co/gwCFRgJEXa',51.50711486,-0.12731805;
AdamAll_Drag,Sat Aug 10 08:23:50 +0000 2019,b'Last night I ran away with the circus!\nCelebrating 30 yrs of The Phoenix Artist Club! At the @udderbellyfest last n? https://t.co/AJr159HUPX',51.50481168,-0.11811113;
KarlPlewka,Sat Aug 10 08:23:45 +0000 2019,b'#mood ?The Book What I Wrote??\n-\n-\nOne of my proudest achievements was to write the words for my amazing friend Val? https://t.co/6RfflSi0Ca',51.50711486,-0.12731805;
"nuts2009,Sat Aug 10 08:21:38 +0000 2019,""b'Just posted a photo @ London, United Kingdom https://t.co/YDseCW5cJm'"",51.50711486,-0.12731805";
"tmj_lon_retail,Sat Aug 10 08:19:04 +0000 2019,""b""""We're hiring! Click to apply: Sales Associate - LEGO Store Leicester Square - https://t.co/lInOtom4vw #LEGO #Retail"""""",51.5073509,-0.1277583";
"nuts2009,Sat Aug 10 08:19:03 +0000 2019,""b'Just posted a photo @ London, United Kingdom https://t.co/pQArlzYBFt'"",51.50711486,-0.12731805";
"tmj_lon_sales,Sat Aug 10 08:18:32 +0000 2019,""b""""Looking to score a job at The Procter &amp";" Gamble Company? You're in luck. Click the link in our bio for the job descr? https://t.co/yTvyXPspfy"""""",51.5073509,-0.1277583"
"nuts2009,Sat Aug 10 08:17:27 +0000 2019,""b'#busesinlondon @ London, United Kingdom https://t.co/qdGBhcmM4P'"",51.50711486,-0.12731805";
penny_france,Sat Aug 10 08:16:46 +0000 2019,b'1 MINUTE HAIR ????? I took some hair inspo from the incredible @kristin_ess and created the simplest 60 second hair? https://t.co/wBwEB7g6G6',51.50711486,-0.12731805;
madbharat,Sat Aug 10 08:15:39 +0000 2019,b'Hair cuts for men and women\n.\n.\n.\n.\n.\n#streetphotograph #StreetShot #IG_Street #StreetShooter #street #StreetLife? https://t.co/mhwXUT8z7j',51.51166667,-0.1275;
"paulomara,Sat Aug 10 08:14:52 +0000 2019,""b""""'Who are you?' said the Caterpillar.\nThis was not an encouraging opening for a conversation. Alice replied, rather? https://t.co/TkhZzfpUcD"""""",51.50711486,-0.12731805";
gussymack,Sat Aug 10 08:14:30 +0000 2019,b'#nowspinning ?Nino and Radiah? by Nino Ferrer. Majestically orchestrated laid back funk from this reluctant French/? https://t.co/444b7LVaD9',51.50711486,-0.12731805;
"Ria_Ri_Ri,Sat Aug 10 08:13:21 +0000 2019,""b'#ad  weetabixofficial is the UK?s number 1 cereal. Weetabix can be eaten any which way and this is my take on it, t? https://t.co/Q4JHtMgOp0'"",51.50711486,-0.12731805";
BdexEntz,Sat Aug 10 08:12:24 +0000 2019,b'#nipseyhussle diss 6ix9ine #tekashi69 on @rickyrozay album before he died \n\n#bdexentertainmentnews? https://t.co/pVHcqFIyyb',51.50711486,-0.12731805;
JulieReid9,Sat Aug 10 08:12:17 +0000 2019,b'Our daughter has had the time of her life this week. Thankyou to each and everyone of your team!!  @pineappledance? https://t.co/2q77oQQxz5',51.51339212,-0.12532075;
"poulters_squad,Sat Aug 10 08:11:43 +0000 2019,""b'Good morning everyone , I hope you all have a good weekend . Emily x @ London, United Kingdom https://t.co/O8fQ0RfqNi'"",51.50711486,-0.12731805";
"maximilian2027,Sat Aug 10 08:11:11 +0000 2019,""b""""CREST will return to MASCARA bar and celebrate the 1st anniversary with a theatre of entertainment, and the scene's? https://t.co/6gop0I1oDB"""""",51.50711486,-0.12731805";
Sam_MartinMusic,Sat Aug 10 08:08:54 +0000 2019,b'Yo this is pretty sick. This is the same drum machine that Phil Collins used on ?In the Air Tonight? and today I go? https://t.co/jea68D3qBS',51.50711486,-0.12731805;
"volutelondon,Sat Aug 10 08:06:40 +0000 2019,""b'Work in progress , house is becoming a home \n.\n.\n.\n.\n.\n.\n#volutelondon #dontmoveimprove #housetohome #interiors? https://t.co/1CLgOXguV3'"",51.50711486,-0.12731805";
"MillzGP,Sat Aug 10 08:05:25 +0000 2019,""b""""Offspring x Converse Chuck '70 Lo.\n.\nApparently the lightning makes you a better dance.\n.\naman_tak please can you c? https://t.co/EnGZYlDOsV"""""",51.50711486,-0.12731805";
"tmj_LON_cstsrv,Sat Aug 10 08:04:10 +0000 2019,""b""""If you're looking for work in #London, England, check out this #CustomerService job via the link in our bio: Senior? https://t.co/wpRjZ2ZGlH"""""",51.5073509,-0.1277583";
ihimberg,Sat Aug 10 07:59:52 +0000 2019,b'This is so damn beautiful and inspiring!! Love the flowers so gorgeously arranged under the amazing chandelier at? https://t.co/jUaXTyiOAz',51.51012558,-0.13590601;
petrahaller1,Sat Aug 10 07:58:23 +0000 2019,b'Trust the process!!!?\nPC gsixtysix ?\n.?\n.?\n.?\n.?\n.?\n.?\n.?\n#workhard #nodaysoff #canthurtme #forevermotivated? https://t.co/HTjg7Pp6Ad',51.50711486,-0.12731805;
LadyWrites_Blog,Sat Aug 10 07:57:56 +0000 2019,b'How are you 2 years old already?! ? Today my littlest boy turned 2 and I wasn?t ready for the feels. I live in a ho? https://t.co/Z2EuUzl43J',51.50711486,-0.12731805;
BeaJareno,Sat Aug 10 07:54:51 +0000 2019,b'Off to their new home ?.\n.\n.\n.\n.\n#beajareno #beajarenojewellery #shanti #shanticollection #shantirings #rings? https://t.co/DEmDfrW7f4',51.50711486,-0.12731805;
meekhan4,Sat Aug 10 07:53:29 +0000 2019,b'15 days to go ... @iamdbanj live 25th Aug at o2 Brixton Academy feat Special Guests &amp; The Compozers Hosted by Shops? https://t.co/3RAZv5w7Gb',51.50711486,-0.12731805
maximilian2027,Sat Aug 10 07:52:18 +0000 2019,b'Mod revival / Northern Soul classics on 45rpm\n\nLarry Williams &amp; Johnny Watson ? Too Late / Two For The Price Of One? https://t.co/yrUOsgNIsj',51.50711486,-0.12731805
huguinhobatista,Sat Aug 10 07:51:06 +0000 2019,b'This ??????#fitnessjourney #tbt #fitnessgoal #londonfitness #fitnessuk #fitness #dancerslife #bulkingseason? https://t.co/a1o1tMt1Wm',51.50711486,-0.12731805;
"shetweetsuk,Sat Aug 10 07:50:30 +0000 2019,""b'Thanks to you beautiful people... ?Issue 03 """"Gender fluidity"""" is in town! ? Come and party with us, link in bio x @? https://t.co/hcjNmbnNWP'"",51.50711486,-0.12731805";
JordiPiqueras,Sat Aug 10 07:49:02 +0000 2019,b'See you soon #london?? en The London Eye https://t.co/7oBFhKlIxD',51.50350452,-0.11935137;
"GwenJBrewer,Sat Aug 10 07:46:49 +0000 2019,""b'World Indigenous  Peoples Day.\n\n#repost\n\n#IndigenousPeoplesDay #ABeautifulWorld #2019 #MarioTestino @ London, Unite? https://t.co/UlRxUmDUo1'"",51.50711486,-0.12731805";
MJManley1971,Sat Aug 10 07:45:28 +0000 2019,b'Felt sorry for max_parker_92 stuck on his train for 7 hours yesterday so did this very quick colour pencil sketch o? https://t.co/yCbPOqIUFZ',51.50711486,-0.12731805;
SaifTheWriter,Sat Aug 10 07:44:39 +0000 2019,b'Is Humanitarian aid by westerners enough? Is education a colonial notion? What do you guys think?\n\nWant us to conti? https://t.co/O4jVBBqUNC',51.50711486,-0.12731805;
SaifTheWriter,Sat Aug 10 07:44:39 +0000 2019,b'Is Humanitarian aid by westerners enough? Is education a colonial notion? What do you guys think?\n\nWant us to conti? https://t.co/O4jVBBqUNC',51.50711486,-0.12731805;
"yemajamaat,Sat Aug 10 07:39:28 +0000 2019,""b""""Hello my love ? It's time to move forward. You are almost there, so dig your heels ? in and see it through. You are? https://t.co/FmEGaL6nbQ"""""",51.50711486,-0.12731805";
